"","geometry","elevation","elev_units"
"431",c(-111.6, 31.5),1137,"meters"
"432",c(-107.41722222, 28.5),2054,"meters"
"433",c(-110.7775, 30.71),1299,"meters"
"434",c(-111.1225, 31.21417),1226,"meters"
"435",c(-108.968, 31.083),1795,"meters"
"436",c(-108.998, 31.03),1935,"meters"
"437",c(-109.004, 31.062),1935,"meters"
"438",c(-108.973, 31.073),1795,"meters"
"439",c(-110.398, 30.384),1527,"meters"
"440",c(-108.94, 31.18),1557,"meters"
"441",c(-108.903, 31.166),1637,"meters"
"442",c(-108.888, 31.164),1835,"meters"
"443",c(-108.858, 31.206),1716,"meters"
"444",c(-108.862, 31.25),1600,"meters"
"445",c(-106.4917, 29.075),1987,"meters"
"446",c(-106.4019, 29.325),1649,"meters"
"447",c(-107.18, 29.18),2178,"meters"
"448",c(-107.5689, 29.725),2146,"meters"
"449",c(-108.35, 30.3),2143,"meters"
"450",c(-107.93, 29.15),2306,"meters"
"451",c(-109.8583, 29.7083),1049,"meters"
"452",c(-106.2083, 28.7833),1616,"meters"
"453",c(-109.72, 28.57),841,"meters"
"454",c(-111.3644, 31.3864),1149,"meters"
"455",c(-109.908, 30.858),1901,"meters"
"456",c(-107.61372, 28.39139),2311,"meters"
"457",c(-111.0603, 31.1408),1411,"meters"
"458",c(-110.6106, 30.3253),1053,"meters"
"459",c(-109.2286, 29.9336),1001,"meters"
"460",c(-109.0553, 29.7644),1260,"meters"
"461",c(-110.6767, 30.3061),919,"meters"
"462",c(-108.9031, 31.1689),1637,"meters"
"463",c(-109.1586, 29.44),814,"meters"
"464",c(-110.547778, 30.819444),1493,"meters"
"465",c(-110.541667, 30.364167),1039,"meters"
"466",c(-110, 30),1191,"meters"
"467",c(-110.32944, 29.7975),1457,"meters"
"468",c(-110.31694, 29.79111),1244,"meters"
"469",c(-110.333597, 29.786781),1457,"meters"
"470",c(-109.69722, 30.45167),1426,"meters"
"471",c(-111.04806, 31.16444),1356,"meters"
"472",c(-111.04722, 31.16611),1356,"meters"
"473",c(-111.10139, 31.19278),1296,"meters"
"474",c(-110.33389, 29.78694),1457,"meters"
"475",c(-110.3325, 29.78556),1457,"meters"
"476",c(-110.32417, 29.79528),1457,"meters"
"477",c(-109.725, 30.57472),1575,"meters"
"478",c(-109.7325, 30.57556),1663,"meters"
"479",c(-110.34056, 29.78556),1457,"meters"
"480",c(-109.72194, 30.53056),1651,"meters"
"481",c(-110.3169, 29.7911),1244,"meters"
"482",c(-102.8833, 29.0317),838,"meters"
"483",c(-102.5349, 29.0118),1746,"meters"
"484",c(-110.75, 31.00833),1717,"meters"
"485",c(-110.57752, 30.74652),1563,"meters"
"486",c(-110.40444, 29.85639),1267,"meters"
"487",c(-108.79415, 31.2933),1816,"meters"
"488",c(-109.76973, 30.642121),1580,"meters"
"489",c(-108.8167, 30.02308),1685,"meters"
"490",c(-108.9217, 30.13641),1652,"meters"
"491",c(-109.73592, 30.54202),1713,"meters"
"492",c(-110.33667, 29.78528),1457,"meters"
"493",c(-110.3471, 29.78598),1457,"meters"
"494",c(-109.42056, 31.22792),1460,"meters"
"495",c(-110.88417, 30.56389),814,"meters"
"496",c(-110.35535, 31.31745),1755,"meters"
"497",c(-110.35538, 31.31726),1755,"meters"
"498",c(-106.4983333, 26.75361111),2034,"meters"
"499",c(-108.0677778, 30.04916667),1954,"meters"
"500",c(-107.2636111, 28.17944444),2281,"meters"
"501",c(-107.3202778, 28.31333333),2319,"meters"
"502",c(-107.9452778, 28.56305556),1992,"meters"
"503",c(-108.0027778, 28.69666667),1868,"meters"
"504",c(-107.8983333, 28.65527778),1800,"meters"
"505",c(-109.0012778, 31.27897222),1485,"meters"
"506",c(-110.3587222, 30.33388889),1390,"meters"
"507",c(-110.3198333, 30.35352778),1403,"meters"
"508",c(-110.0011111, 29.46972222),937,"meters"
"509",c(-110.2768889, 29.69133333),1037,"meters"
"510",c(-110.5169444, 30.97777778),1345,"meters"
"511",c(-110.3772222, 31.03222222),1766,"meters"
"512",c(-110.2990194, 31.00515833),1634,"meters"
"513",c(-110.2735278, 30.84911111),1457,"meters"
"514",c(-110.5416667, 30.36416667),1039,"meters"
"515",c(-109.8280556, 30.83138889),1676,"meters"
"516",c(-109.7677778, 30.69916667),1435,"meters"
"517",c(-110.9771944, 30.81863889),1291,"meters"
"518",c(-110.7613889, 30.73972222),1095,"meters"
"519",c(-110.5829472, 30.80861944),1407,"meters"
"520",c(-110.93575, 30.75269444),988,"meters"
"521",c(-110.6433611, 30.84152778),1069,"meters"
"522",c(-110.5836111, 30.83416667),1229,"meters"
"523",c(-110.5733333, 30.81638889),1229,"meters"
"524",c(-110.5483333, 30.81944444),1493,"meters"
"525",c(-110.5967833, 30.83045),1229,"meters"
"526",c(-109.2516278, 30.57799722),1477,"meters"
"527",c(-109.7294667, 30.54032222),1651,"meters"
